Power,concentration,PMT 1,PMT 2,Intensity,NA
10,25,,0.75,3575.996,
8,25,,0.75,2842.729,
6,25,,0.75,1907.291,
14,25,,0.65,2853.779,
12,25,,0.65,2189.39,
20,25,,0.8,4094.141,
10,25,,0.8,3879.829,
10,25,,0.8,4018.742,hiNA
14,25,,0.7,3815.656,
12,25,,0.7,3393.471,
10,25,,0.7,2670.216,
8,25,,0.7,1863.25,
18,25,,0.6,2648.694,
16,25,,0.6,2138.965,
14,25,,0.6,1671.864,
20,25,0.85,,475.338,
18,25,0.85,,476.65,
16,25,0.85,,474.175,
14,25,0.85,,491.721,
20,25,0.75,,152.365,
18,25,0.75,,152.377,
16,25,0.75,,152.267,
20,25,0.65,,59.819,
18,25,0.65,,60.297,
14,25,0.65,,60.424,
25,20,0.9,,724.528,
25,20,0.9,,1286.716,hiNA
25,20,0.9,,872.04,
25,18,0.9,,722.443,
25,18,0.9,,1288.038,hiNA
25,18,0.9,,848.311,
25,16,0.9,,726.459,
25,16,0.9,,1293.638,hiNA
25,16,0.9,,850.051,
25,14,0.9,,736.317,
25,14,0.9,,1288.059,hiNA
25,14,0.9,,735.795,
25,12,0.9,,745.926,
25,12,0.9,,1283.752,hiNA
25,10,0.9,,730.286,
25,10,0.9,,1303.981,hiNA
25,20,0.8,,263.597,
25,16,0.8,,266.846,
25,20,0.7,,88.92,
25,18,0.7,,86.516,
concent,power,,,,
10,20,,0.75,3712.77,
10,18,,0.75,3448.019,
10,16,,0.75,3071.475,
10,14,,0.75,2589.41,
10,20,,0.65,1862.764,
10,18,,0.65,1537.373,
10,16,,0.65,1251.104,
10,14,,0.65,996.766,
10,20,,0.8,3959.049,
10,20,,0.8,3996.268,hiNA
10,18,,0.8,3858.678,
10,18,,0.8,3938.469,hiNA
10,16,,0.8,3695.54,
10,16,,0.8,3826.558,hiNA
10,14,,0.8,3415.077,
10,14,,0.8,3633.679,hiNA
10,12,,0.8,2983.041,
10,12,,0.8,3287.212,hiNA
10,10,,0.8,2392.535,
10,10,,0.8,2753.03,hiNA
10,20,,0.7,2870.927,
10,18,,0.7,2441.75,
10,16,,0.7,2006.831,
10,14,,0.7,1609.23,
10,20,,0.6,1075.016,
